city_id,year,num_diapers,num_babies
1,2018,48648,108
1,2019,50777,112
1,2020,48852,108
1,2021,59870,133
1,2022,56824,126
1,2023,66319,147
1,2024,66634,148
1,2025,70359,156
2,2018,34519,76
2,2019,37862,84
2,2020,40182,89
2,2021,44495,98
2,2022,49679,110
2,2023,49124,109
2,2024,54662,121
2,2025,49561,110
3,2018,25846,57
3,2019,24340,54
3,2020,26050,57
3,2021,30723,68
3,2022,30270,67
3,2023,33824,75
3,2024,33051,73
3,2025,35352,78
4,2018,21592,47
4,2019,21142,46
4,2020,20708,46
4,2021,22477,49
4,2022,27011,60
4,2023,28764,63
4,2024,25027,55
4,2025,28426,63
5,2018,21170,47
5,2019,23971,53
5,2020,26867,59
5,2021,26012,57
5,2022,28158,62
5,2023,28538,63
5,2024,32445,72
5,2025,33123,73
6,2018,24910,55
6,2019,23568,52
6,2020,29149,64
6,2021,25714,57
6,2022,28068,62
6,2023,33989,75
6,2024,30732,68
6,2025,37026,82
7,2018,31030,68
7,2019,30576,67
7,2020,38333,85
7,2021,38487,85
7,2022,38138,84
7,2023,39953,88
7,2024,45521,101
7,2025,47429,105
8,2018,40100,89
8,2019,48689,108
8,2020,51079,113
8,2021,52922,117
8,2022,55768,123
8,2023,51286,113
8,2024,61766,137
8,2025,58020,128
9,2018,43270,96
9,2019,46802,104
9,2020,51988,115
9,2021,56012,124
9,2022,55425,123
9,2023,55713,123
9,2024,66996,148
9,2025,68609,152
10,2018,27378,60
10,2019,30504,67
10,2020,27943,62
10,2021,32766,72
10,2022,35533,78
10,2023,33436,74
10,2024,39382,87
10,2025,40040,88
11,2018,63275,140
11,2019,69761,155
11,2020,65414,145
11,2021,76205,169
11,2022,70750,157
11,2023,74431,165
11,2024,79546,176
11,2025,93474,207
12,2018,38709,86
12,2019,46052,102
12,2020,47497,105
12,2021,49634,110
12,2022,50828,112
12,2023,47444,105
12,2024,53251,118
12,2025,54807,121
13,2018,28197,62
13,2019,26537,58
13,2020,28027,62
13,2021,33447,74
13,2022,32748,72
13,2023,34353,76
13,2024,33118,73
13,2025,38811,86
14,2018,23447,52
14,2019,23647,52
14,2020,24797,55
14,2021,28277,62
14,2022,30713,68
14,2023,30123,66
14,2024,32563,72
14,2025,36659,81
15,2018,22153,49
15,2019,19884,44
15,2020,24115,53
15,2021,25574,56
15,2022,25767,57
15,2023,25576,56
15,2024,29437,65
15,2025,29862,66
16,2018,38428,85
16,2019,44846,99
16,2020,45655,101
16,2021,48402,107
16,2022,55489,123
16,2023,51403,114
16,2024,59118,131
16,2025,59558,132
17,2018,24289,53
17,2019,22778,50
17,2020,27828,61
17,2021,25178,55
17,2022,29210,64
17,2023,27616,61
17,2024,33216,73
17,2025,31531,70
18,2018,70904,157
18,2019,79961,177
18,2020,87694,194
18,2021,80264,178
18,2022,85784,190
18,2023,96422,214
18,2024,94758,210
18,2025,100296,222
19,2018,22340,49
19,2019,24689,54
19,2020,23109,51
19,2021,26628,59
19,2022,26998,59
19,2023,28885,64
19,2024,30892,68
19,2025,33031,73
20,2018,28230,62
20,2019,33902,75
20,2020,32974,73
20,2021,37989,84
20,2022,37972,84
20,2023,41588,92
20,2024,40668,90
20,2025,42734,94
21,2018,32546,72
21,2019,33332,74
21,2020,40915,90
21,2021,41402,92
21,2022,37395,83
21,2023,46783,103
21,2024,48097,106
21,2025,51146,113
22,2018,37333,82
22,2019,47053,104
22,2020,41428,92
22,2021,48474,107
22,2022,46583,103
22,2023,56634,125
22,2024,53536,118
22,2025,59762,132
