partner_id,city_id,percentage
1,12,0.117906174
1,3,0.131855224
1,18,0.086263857
1,7,0.170068277
1,2,0.058206691
1,9,0.111763698
1,13,0.11675599
1,11,0.20718009
2,20,0.249772883
2,2,0.187626305
2,3,0.137493743
2,7,0.088417969
2,18,0.223520033
2,19,0.113169068
3,7,0.072970459
3,11,0.349777079
3,10,0.383359528
3,1,0.079064695
3,4,0.114828239
4,16,0.145489234
4,8,0.173521395
4,20,0.113832107
4,7,0.085132189
4,13,0.087162715
4,21,0.196429545
4,11,0.198432815
5,10,0.057373927
5,13,0.163316436
5,15,0.027133941
5,18,0.147200164
5,12,0.162730389
5,22,0.178172708
5,9,0.103832742
5,6,0.160239693
6,16,0.170807623
6,15,0.190875334
6,4,0.175899634
6,22,0.253658603
6,11,0.140310162
6,7,0.068448643
7,11,0.413831443
7,14,0.229847676
7,2,0.15760507
7,19,0.198715811
8,8,0.136931754
8,5,0.095102313
8,1,0.106281953
8,9,0.215000816
8,18,0.182818526
8,14,0.058435604
8,10,0.090994737
8,3,0.114434298
9,11,0.151248271
9,8,0.572203217
9,13,0.276548512
10,8,0.157270158
10,16,0.109268658
10,18,0.322052717
10,11,0.129167147
10,9,0.102996309
10,21,0.179245011
11,21,0.135103272
11,16,0.129377
11,15,0.098648049
11,6,0.136772159
11,12,0.263224779
11,19,0.111891966
11,5,0.124982775
12,18,0.175636297
12,16,0.222777573
12,6,0.066912578
12,22,0.083972704
12,2,0.210475839
12,17,0.061213574
12,19,0.179011435
13,3,0.079694101
13,2,0.107210488
13,1,0.153139111
13,14,0.137159505
13,5,0.192789512
13,8,0.085447924
13,22,0.110721049
13,12,0.13383831
14,1,0.445831691
14,7,0.401717265
14,17,0.152451045
15,12,0.140959448
15,2,0.252964222
15,20,0.132553252
15,21,0.218561088
15,22,0.254961991
16,16,0.066264935
16,22,0.03012987
16,1,0.278836364
16,20,0.252820779
16,18,0.217350649
16,14,0.154597403
17,1,0.695933105
17,17,0.304066895
18,9,0.274697825
18,18,0.180402714
18,10,0.180152926
18,1,0.109379553
18,17,0.103120967
18,14,0.037426625
18,6,0.114819389
19,4,0.439489324
19,17,0.560510676
